RICS,Term,Prices/Upfronts,Name,Currency,Rank,Doc Clause,Cal final,recovery rate,TRBC Economic Sector Name,Region
HNDL20YUSAC=R,20Y,148.63,HENDERSON LAND,USD,SNRFOR,Cum-Restruct14,NR,(40-49),Financials,East Asia & Pacific - Japan
HYMA20YUSAC=R,20Y,94.93,HYUNDAI MOTOR,USD,SNRFOR,Cum-Restruct14,BBB,(40-49),Consumer Cyclicals,East Asia & Pacific - Japan
IOIB20YUSAC=R,20Y,194.32,IOI CORP,USD,SNRFOR,Cum-Restruct14,BBB,(40-49),Consumer Non-Cyclicals,East Asia & Pacific - Japan
KIAM20YUSAC=R,20Y,146.22,KIA MOTORS,USD,SNRFOR,Cum-Restruct14,BBB,(40-49),Consumer Cyclicals,East Asia & Pacific - Japan
LGEL20YUSAC=R,20Y,111.74,LG ELEC,USD,SNRFOR,Cum-Restruct14,BBB,(40-49),Technology,East Asia & Pacific - Japan
POSC20YUSAC=R,20Y,110.04,POSCO,USD,SNRFOR,Cum-Restruct14,BBB,(40-49),Basic Materials,East Asia & Pacific - Japan
RIO20YUSAR=R,20Y,119.96,RIO TINTO,USD,SNRFOR,Mod-Restruct14,A,(40-49),Basic Materials,East Asia & Pacific - Japan
SAME20YUSAC=R,20Y,89.41,SAMSUNG ELEC,USD,SNRFOR,Cum-Restruct14,AA,(40-49),Technology,East Asia & Pacific - Japan
SUHA20YUSAC=R,20Y,142.36,SHK PROPERTIES,USD,SNRFOR,Cum-Restruct14,A,(40-49),Financials,East Asia & Pacific - Japan
HXSC20YUSAC=R,20Y,305.17,SK HYNIX,USD,SNRFOR,Cum-Restruct14,BBB,(40-49),Technology,East Asia & Pacific - Japan
SWIR20YUSAC=R,20Y,177.44,SWIRE PACIFIC,USD,SNRFOR,Cum-Restruct14,A,(40-49),Financials,East Asia & Pacific - Japan
AMPG20YUSAR=R,20Y,99.03,AMP GROUP HLDG,USD,SNRFOR,Mod-Restruct14,A,(40-49),Financials,East Asia & Pacific - Japan
CATH20YUSAC=R,20Y,82.71,CATHAY HOLDINGS,USD,SNRFOR,Cum-Restruct14,BBB,(40-49),Financials,East Asia & Pacific - Japan
CHIF20YUSAC=R,20Y,82.7,CTBC HOLDING,USD,SNRFOR,Cum-Restruct14,BBB,(40-49),Financials,East Asia & Pacific - Japan
FUBO20YUSAC=R,20Y,82.7,FUBON FINANCIAL,USD,SNRFOR,Cum-Restruct14,BBB,(40-49),Financials,East Asia & Pacific - Japan
GENT20YUSAC=R,20Y,123.59,GENTING,USD,SNRFOR,Cum-Restruct14,BBB,(40-49),Consumer Cyclicals,East Asia & Pacific - Japan
GPTR20YUSAR=R,20Y,124.03,GPT RE,USD,SNRFOR,Mod-Restruct14,NR,(40-49),Financials,East Asia & Pacific - Japan
HKLA20YUSAC=R,20Y,159.41,HK LAND,USD,SNRFOR,Cum-Restruct14,A,(40-49),Financials,East Asia & Pacific - Japan
HUWB20YUSAC=R,20Y,162.44,HUTCHISONWHAMPOA,USD,SNRFOR,Cum-Restruct14,NR,(40-49),Industrials,East Asia & Pacific - Japan
LLC20YUSAR=R,20Y,211.55,LNDLEASE,USD,SNRFOR,Mod-Restruct14,BBB,(40-49),Consumer Cyclicals,East Asia & Pacific - Japan
MGQ20YUSAQ=R,20Y,164.6,MACQUARIE GROUP,USD,SNRFOR,Mod-Restruct14,BBB,(40-49),Financials,East Asia & Pacific - Japan
QBE20YUSAR=R,20Y,157.81,QBE INS GRP,USD,SNRFOR,Mod-Restruct14,A,(40-49),Financials,East Asia & Pacific - Japan
SGPX20YUSAR=R,20Y,116.42,STOCKLAND TR MNG,USD,SNRFOR,Mod-Restruct14,NR,(40-49),Financials,East Asia & Pacific - Japan
TEMB20YUSAC=R,20Y,43.92,TEMASEK HOLDINGS,USD,SNRFOR,Cum-Restruct14,AAA,(40-49),Industrials,East Asia & Pacific - Japan
WDCT20YUSAR=R,20Y,156.09,SCENTRE GROUP,USD,SNRFOR,Mod-Restruct14,A,(40-49),Financials,East Asia & Pacific - Japan
CLPB20YUSAC=R,20Y,103.25,CLP POWER HK,USD,SNRFOR,Cum-Restruct14,A,(40-49),Utilities,East Asia & Pacific - Japan
CLPB20YUSSC=R,20Y,154.88,CLP POWER HK,USD,SUBLT2,Cum-Restruct14,A,(0-29),Utilities,East Asia & Pacific - Japan
AANA20YUSAR=R,20Y,118.92,JEMENA,USD,SNRFOR,Mod-Restruct14,NR,(40-49),Utilities,East Asia & Pacific - Japan
KEPA20YUSAC=R,20Y,100.61,KEPCO,USD,SNRFOR,Cum-Restruct14,AA,(40-49),Utilities,East Asia & Pacific - Japan
KRMP20YUSAC=R,20Y,63.88,KOMIPO,USD,SNRFOR,Cum-Restruct14,AA,(40-49),Utilities,East Asia & Pacific - Japan
RLEN20YUSAC=R,20Y,302.79,RELIANCE INFRAST,USD,SNRFOR,Cum-Restruct14,NR,(40-49),Utilities,East Asia & Pacific - Japan
SGPW20YUSAC=R,20Y,81.29,SINGAPORE POWER,USD,SNRFOR,Cum-Restruct14,AA,(40-49),Utilities,East Asia & Pacific - Japan
TTPW20YUSAC=R,20Y,342.61,TATA POWER,USD,SNRFOR,Cum-Restruct14,NR,(40-49),Utilities,East Asia & Pacific - Japan
TENA20YUSAC=R,20Y,178.71,TNB,USD,SNRFOR,Cum-Restruct14,BBB,(40-49),Utilities,East Asia & Pacific - Japan
AUGV20YUSAR=R,20Y,39.22,AUSTRALIA,USD,SNRFOR,Mod-Restruct14,AAA,(40-49),Government,East Asia & Pacific - Japan
BHGV20YUSAC=R,20Y,482.75,BAHRAIN,USD,SNRFOR,Cum-Restruct14,B,(0-29),Financials,Middle East & North Africa
CNGV20YUSAC=R,20Y,106.29,CHINA,USD,SNRFOR,Cum-Restruct14,A,(40-49),Government,East Asia & Pacific - Japan
HKGV20YUSAC=R,20Y,51.18,HONG KONG SAR,USD,SNRFOR,Cum-Restruct14,AA,(40-49),Government,East Asia & Pacific - Japan
INGV20YUSAC=R,20Y,94.63,INDIA,USD,SNRFOR,Cum-Restruct14,BBB,(40-49),Government,East Asia & Pacific - Japan
IDGV20YUSAC=R,20Y,230.9,INDONESIA,USD,SNRFOR,Cum-Restruct14,BBB,(40-49),Government,East Asia & Pacific - Japan
MYGV20YUSAC=R,20Y,169.66,MALAYSIA,USD,SNRFOR,Cum-Restruct14,A,(40-49),Government,East Asia & Pacific - Japan
NZGV20YUSAR=R,20Y,48.31,NEW ZEALAND,USD,SNRFOR,Mod-Restruct14,AA,(40-49),Government,East Asia & Pacific - Japan
PKGV20YUSAC=R,20Y,499.93,PAKISTAN,USD,SNRFOR,Cum-Restruct14,B,(40-49),Government,South Asia
